"date";"ticker";"field";"override";"override_period";"value";"extraction_date"
"2001-10-18";IBOV Index;CUR_MKT_CAP;;;193,430.63;"2023-08-21"
"2001-10-19";IBOV Index;CUR_MKT_CAP;;;196,978.31;"2023-08-21"
"2001-10-22";IBOV Index;CUR_MKT_CAP;;;202,367.35;"2023-08-21"
"2001-10-23";IBOV Index;CUR_MKT_CAP;;;201,949.44;"2023-08-21"
"2001-10-24";IBOV Index;CUR_MKT_CAP;;;199,713.04;"2023-08-21"
"2001-10-25";IBOV Index;CUR_MKT_CAP;;;201,963.72;"2023-08-21"
"2001-10-26";IBOV Index;CUR_MKT_CAP;;;202,649.65;"2023-08-21"
"2001-10-29";IBOV Index;CUR_MKT_CAP;;;197,675.8;"2023-08-21"
"2001-10-30";IBOV Index;CUR_MKT_CAP;;;192,213.59;"2023-08-21"
"2001-10-31";IBOV Index;CUR_MKT_CAP;;;197,297.74;"2023-08-21"
"2001-11-01";IBOV Index;CUR_MKT_CAP;;;197,458.86;"2023-08-21"
"2001-11-02";IBOV Index;CUR_MKT_CAP;;;197,458.86;"2023-08-21"
"2001-11-05";IBOV Index;CUR_MKT_CAP;;;205,434.89;"2023-08-21"
"2001-11-06";IBOV Index;CUR_MKT_CAP;;;207,551.81;"2023-08-21"
"2001-11-07";IBOV Index;CUR_MKT_CAP;;;209,519.69;"2023-08-21"
"2001-11-08";IBOV Index;CUR_MKT_CAP;;;208,444.47;"2023-08-21"
"2001-11-09";IBOV Index;CUR_MKT_CAP;;;211,740.33;"2023-08-21"
"2001-11-12";IBOV Index;CUR_MKT_CAP;;;207,430.98;"2023-08-21"
"2001-11-13";IBOV Index;CUR_MKT_CAP;;;211,585.63;"2023-08-21"
"2001-11-14";IBOV Index;CUR_MKT_CAP;;;209,181.66;"2023-08-21"
"2001-11-15";IBOV Index;CUR_MKT_CAP;;;209,181.66;"2023-08-21"
"2001-11-16";IBOV Index;CUR_MKT_CAP;;;206,604.87;"2023-08-21"
"2001-11-19";IBOV Index;CUR_MKT_CAP;;;209,666.93;"2023-08-21"
"2001-11-20";IBOV Index;CUR_MKT_CAP;;;207,498.5;"2023-08-21"
"2001-11-21";IBOV Index;CUR_MKT_CAP;;;210,244.02;"2023-08-21"
"2001-11-22";IBOV Index;CUR_MKT_CAP;;;214,318.51;"2023-08-21"
"2001-11-23";IBOV Index;CUR_MKT_CAP;;;217,555.36;"2023-08-21"
"2001-11-26";IBOV Index;CUR_MKT_CAP;;;219,676.23;"2023-08-21"
"2001-11-27";IBOV Index;CUR_MKT_CAP;;;217,799.97;"2023-08-21"
"2001-11-28";IBOV Index;CUR_MKT_CAP;;;210,474.6;"2023-08-21"
"2001-11-29";IBOV Index;CUR_MKT_CAP;;;207,035.08;"2023-08-21"
